threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,tpr,tnr,fpr,tag
0.1,6210,15527,2395,23728,0.2856879974237475,0.7216734456711215,0.4093335969942653,0.6255328040117007,0.7216734456711215,0.6044580308240989,0.3955419691759012,CentralWest_Mid
0.1333333333333333,4563,9652,4042,29603,0.3209989447766443,0.5302730970366066,0.3999123575810692,0.7138737985791893,0.5302730970366066,0.75412049420456,0.24587950579544,CentralWest_Mid
0.1666666666666666,3152,5987,5453,33268,0.3448955027902396,0.3662986635676932,0.3552750225428314,0.7609694943585458,0.3662986635676932,0.8474843968921156,0.1525156031078843,CentralWest_Mid
0.2,2145,3666,6460,35589,0.3691275167785235,0.2492736780941313,0.2975860155382908,0.7884245716673631,0.2492736780941313,0.9066106228505922,0.0933893771494077,CentralWest_Mid
0.2333333333333333,1383,2150,7222,37105,0.3914520237758279,0.1607205113306217,0.2278793870489372,0.8041788549937318,0.1607205113306217,0.9452299070182142,0.0547700929817857,CentralWest_Mid
0.2666666666666666,926,1220,7679,38035,0.4315004659832246,0.1076118535735037,0.1722630452981118,0.8140618470539073,0.1076118535735037,0.968921156540568,0.0310788434594319,CentralWest_Mid
0.3,612,689,7993,38566,0.4704073789392775,0.0711214410226612,0.1235614778921865,0.8185959047221062,0.0711214410226612,0.9824480957839764,0.0175519042160234,CentralWest_Mid
0.3333333333333333,415,347,8190,38908,0.5446194225721784,0.0482277745496804,0.0886089463008434,0.8216255745925617,0.0482277745496804,0.9911603617373584,0.0088396382626417,CentralWest_Mid
0.3666666666666666,329,195,8276,39060,0.6278625954198473,0.0382335851249273,0.0720779932084565,0.8230045967404931,0.0382335851249273,0.9950324799388612,0.0049675200611387,CentralWest_Mid
0.4,295,93,8310,39162,0.7603092783505154,0.0342823939570017,0.0656065828978094,0.8244254074383619,0.0342823939570017,0.9976308750477646,0.0023691249522353,CentralWest_Mid
0.4333333333333333,230,49,8375,39206,0.8243727598566308,0.0267286461359674,0.0517784781629896,0.8239866276640201,0.0267286461359674,0.9987517513692524,0.0012482486307476,CentralWest_Mid
0.4666666666666667,156,33,8449,39222,0.8253968253968254,0.0181289947704822,0.0354787355014782,0.8227747597158379,0.0181289947704822,0.9991593427588842,0.0008406572411157,CentralWest_Mid
0.5,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
0.5333333333333333,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
0.5666666666666667,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
0.6,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
0.6333333333333333,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
0.6666666666666666,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
0.7,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
0.7333333333333333,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
0.7666666666666666,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
0.8,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
0.8333333333333334,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
0.8666666666666667,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
0.9,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
0.9333333333333332,0,0,8605,39255,0.0,0.0,0.0,0.8202047638946929,0.0,1.0,0.0,CentralWest_Mid
